getuid32,getpid,epoll_wait,ioctl,futex,access,getConnectionInfo,recvfrom,fcntl64,pread64,Class
656,635,1241,1733,842,3,0,0,5,1,2
37,23,17,85,74,10,0,8,6,26,2
135,119,128,295,259,5,0,77,15,160,2
419,415,493,683,354,5,0,444,19,215,2
19,9,3,31,43,3,0,0,5,1,2
53,36,29,211,89,23,0,2,5,1,2
84,69,87,184,146,8,0,24,6,5,2
21147,69,65,95830,63064,10567,0,16,12,7,2
77,65,39,619,694,341,3,31,1218,287,2
163,123,619,388,228,71,0,760,33,11,2
19,9,4,32,40,3,0,0,5,1,2
1028,986,1723,3085,953,10,0,2380,10,46,2
29717,69,63,87727,72110,14836,0,32,72,6,2
8125,8037,8918,1692,2288,150,0,874,625,203,2
254,254,288,586,1899,48,1,160,134,25,2
428,388,1005,1122,357,75,0,884,35,29,2
92,66,204,270,111,5,0,409,9,40,2
95,91,154,198,471,20,0,2,72,25,2
94,91,146,197,455,20,0,2,72,25,2
48,34,26,173,207,37,0,4,207,48,2
19,9,4,34,37,3,0,0,5,1,2
28239,69,64,89836,66411,14089,0,20,28,5,2
27966,69,63,93007,73803,13963,0,16,12,6,2
147,32,21,1209,4663,122,0,48,7,109,2
9424,9335,10304,1719,2227,150,0,956,625,203,2
5534,5483,9031,11845,2900,546,7,12364,1519,410,2
28085,69,63,90298,71261,14022,0,16,12,6,2
45,24,23,79,61,5,0,0,7,2,2
80,63,50,306,195,20,0,33,7,21,2
471,465,626,1003,307,9,0,695,22,128,2
80,63,51,305,263,20,0,33,7,21,2
19,9,3,30,45,3,0,0,5,1,2
59,31,35,194,58,97,0,32,399,124,2
52,36,494,178,307,33,0,732,7,11,2
36,27,19,75,176,3,0,0,8,1,2
18,7,2,29,77,3,0,0,5,2,2
793,776,1083,3210,141,7,0,2889,11,27,2
209,156,237,493,81,1,0,260,0,45,2
92,28,17,204,3128,65,0,0,62,53,2
54,37,27,149,181,6,0,7,41,1,2
5955,47,40,8933,13024,10,0,9,43,42,2
860,859,1237,3783,140,7,0,3271,8,25,2
46,25,24,79,78,5,0,0,7,2,2
5259,5257,8762,10864,903,76,0,11901,160,42,2
2442,2449,4478,1598,3198,155,4,508,550,180,2
46,33,23,258,231,12,0,12,9,53,2
430,388,1012,1127,365,73,0,879,34,29,2
14594,14603,16670,310,2620,25,0,43,96,24,2
104,91,66,307,304,14,0,50,18,13,2
22,9,3,55,35,3,0,0,5,11,2
988,979,1366,4107,552,5,0,3404,21,37,2
2951,2897,3475,2914,2533,60,0,173,94,35,2
951,929,1794,2418,1733,14,0,0,64,2,2
33651,33663,35574,39948,79411,71,0,44,194,13,2
113,69,75,269,260,14,0,0,15,2,2
48,34,492,147,270,27,0,732,7,13,2
71,42,45,172,104,27,0,111,133,56,2
19,9,4,33,44,3,0,0,5,1,2
81,48,40,323,725,87,0,0,392,112,2
19,9,3,31,43,3,0,0,5,1,2
141,95,117,465,1006,10,0,25,7,5,2
84,69,88,181,147,8,0,24,6,5,2
49,35,27,126,185,11,0,5,31,4,2
51,35,487,178,279,33,0,732,7,11,2
43,30,21,128,1020,13,0,2,5,1,2
19,9,4,32,38,3,0,0,5,1,2
61,57,36,1604,3816,383,0,58,2082,599,2
84,69,88,180,135,8,0,24,6,5,2
264,261,333,581,275,5,0,304,19,159,2
454,440,812,278,208,7,0,0,5,30,2
19,9,4,32,41,3,0,0,5,1,2
939,938,1347,4185,146,7,0,3584,8,25,2
52,36,498,165,282,33,0,732,7,11,2
963,941,1796,2637,2317,14,0,0,64,2,2
43,30,21,122,1084,13,0,2,5,1,2
84,69,88,185,135,8,0,24,6,5,2
11745,9716,12378,20720,723,8,0,4877,11,5,2
193,191,219,462,412,5,0,236,16,154,2
31986,68,63,93903,37658,22,0,23,40,5,2
654,633,1236,1681,864,3,0,0,5,1,2
400,394,462,655,364,5,0,413,20,215,2
19,9,4,31,39,3,0,0,5,1,2
878,861,1221,3588,169,7,0,3229,11,28,2
19,9,4,32,35,3,0,0,5,1,2
4678,4696,11609,1408,13255,137,1,3051,754,204,2
53,39,31,168,123,12,0,9,43,6,2
107,49,44,206,1231,8,0,0,8,1,2
0,0,0,0,0,0,0,0,0,0,2
51,35,493,174,289,33,0,732,7,11,2
113,69,73,273,259,14,0,0,15,2,2
890,889,1278,3903,146,7,0,3391,8,25,2
19,9,3,31,43,3,0,0,5,1,2
73,61,37,7298,6675,80,6,17,18,82,2
233,222,238,954,715,95,0,273,291,243,2
941,926,1269,3837,198,5,0,3255,17,37,2
19,9,3,31,43,3,0,0,5,1,2
459,461,990,1106,559,14,0,1364,28,68,2
874,857,1188,3519,171,7,0,3213,11,28,2
52,41,161,169,88,8,0,352,7,22,2
270,264,317,617,326,5,0,272,20,139,2
28127,69,65,93326,69238,14033,0,20,28,5,2
430,388,1018,1134,540,75,0,871,35,29,2
610,615,1925,1120,1966,50,0,703,200,27,2
53,36,28,195,94,23,0,2,5,1,2
84,69,87,188,141,8,0,24,6,5,2
35,22,17,75,80,5,0,8,6,27,2
75,46,50,193,111,27,0,115,133,56,2
1320,1044,1466,3798,4631,1322,10,264,4897,1365,2
71,42,45,178,117,27,0,109,133,56,2
19,9,4,32,40,3,0,0,5,1,2
8078,7961,9025,2063,3016,224,0,1038,1648,293,2
197,146,212,455,74,1,0,248,0,45,2
58,57,477,163,481,7,0,744,134,31,2
7556,7510,20735,5677,16645,167,0,2196,1060,126,2
53,39,30,168,123,12,0,9,43,6,2
46,27,29,103,1182,6,0,0,5,1,2
19,9,3,30,43,3,0,0,5,1,2
48,41,25,171,271,34,0,2,207,44,2
19,9,3,39,36,3,0,0,5,1,2
190,188,218,439,250,5,0,220,16,154,2
19,9,4,32,38,3,0,0,5,1,2
165,131,614,392,330,123,0,790,136,11,2
84,69,87,195,213,8,0,24,6,5,2
104,92,68,306,340,14,0,51,18,13,2
81,64,53,313,347,20,0,33,11,21,2
280,178,197,2975,1606,49,0,132,26,20,2
82,65,51,305,229,20,0,33,7,21,2
84,69,87,184,147,8,0,24,6,5,2
19,9,3,31,34,3,0,0,5,1,2
60,52,473,150,114,5,0,740,8,27,2
466,412,1041,1167,411,83,0,899,37,30,2
27583,69,65,89399,71216,13771,0,16,12,6,2
65,61,49,204,142,34,0,85,10,34,2
263,257,302,596,321,5,0,241,22,139,2
83,66,55,314,249,20,0,45,11,21,2
19,9,3,34,38,3,0,0,5,1,2
27853,69,64,92865,69176,13896,0,20,28,5,2
562,595,1697,523,2104,55,0,255,237,26,2
190,141,216,439,46,1,0,240,0,44,2
21293,69,65,99566,64803,10619,0,20,24,7,2
2829,2766,3322,2911,2329,56,0,181,94,34,2
50,32,25,242,498,87,0,0,384,113,2
84,69,89,189,139,8,0,24,6,5,2
53,36,30,202,1299,23,0,2,5,1,2
56,41,33,173,139,12,0,9,43,6,2
80,47,41,301,663,87,0,0,390,112,2
53,39,30,178,178,12,0,9,43,6,2
43,30,21,126,98,13,0,2,5,1,2
35,22,18,78,77,5,0,8,6,27,2
194,192,222,482,524,5,0,239,16,154,2
53,39,31,167,196,12,0,9,43,6,2
59,31,34,194,71,97,0,32,399,125,2
466,412,1044,1191,646,81,0,907,36,30,2
19,9,4,32,37,3,0,0,5,1,2
19,9,4,32,41,3,0,0,5,1,2
0,0,0,0,0,0,0,0,0,0,2
136,90,106,448,909,10,0,25,7,5,2
167,127,627,415,393,75,0,760,35,11,2
487,468,871,249,510,12,0,24,47,6,2
5236,5225,8639,10073,2112,295,0,11795,391,84,2
53,39,30,169,129,12,0,9,43,6,2
58,31,35,194,59,97,0,31,399,125,2
256,231,265,1172,1665,280,7,161,484,160,2
481,485,1317,240,1292,45,0,57,190,11,2
92,28,17,215,3228,67,0,0,65,53,2
58,31,34,176,68,97,0,30,399,125,2
28389,69,64,93284,68962,14164,0,20,28,5,2
70,42,34,270,858,87,0,0,396,112,2
658,673,4202,295,3486,46,0,840,213,15,2
75,62,52,140,145,10,0,29,13,78,2
28193,69,64,94692,68696,14066,0,20,28,5,2
267,260,308,609,286,5,0,261,22,139,2
74,44,48,179,130,27,0,110,133,56,2
161,159,210,380,571,40,0,122,79,47,2
71,42,46,174,102,27,0,110,133,56,2
156,154,183,436,207,51,0,191,158,106,2
136,119,133,284,262,5,0,83,15,160,2
84,69,88,185,195,8,0,24,6,5,2
43,30,21,119,94,13,0,2,5,1,2
28849,69,64,92451,74563,14404,0,16,12,6,2
807,790,1132,3452,142,7,0,2944,11,27,2
53,39,30,169,126,12,0,9,43,6,2
41,29,442,83,42,5,0,732,8,14,2
84,69,88,178,138,8,0,24,6,5,2
119,68,40,1348,414,98,0,19,153,126,2
5229,5222,8589,9981,2568,253,2,11794,312,70,2
3845,3859,6173,2290,5584,342,4,742,1295,274,2
476,472,1287,321,1439,45,0,81,191,13,2
19,9,4,32,40,3,0,0,5,1,2
145,39,30,357,221,37,0,4,207,48,2
167,127,627,401,200,75,0,759,34,11,2
86,65,188,242,121,5,0,383,9,40,2
431,390,1012,1136,640,75,0,883,36,29,2
76,58,44,210,216,24,0,22,13,11,2
405,401,479,674,336,5,0,439,20,215,2
54,37,28,150,185,6,0,6,37,1,2
556,543,953,1195,775,6,0,1001,9,67,2
2719,2667,3225,2893,2564,57,0,188,94,28,2
34564,68,64,97811,36634,22,0,23,40,5,2
19,9,4,32,41,3,0,0,5,1,2
32441,68,65,97188,37454,22,0,16,12,5,2
48,34,26,183,219,37,0,4,207,48,2
65,46,39,179,332,6,0,8,37,1,2
46,27,29,103,97,6,0,0,5,1,2
59,50,473,165,182,5,0,742,80,31,2
840,826,1589,1960,105,16,0,1612,72,48,2
17651,17640,35340,105,27216,7,0,740,8,13,2
51,35,479,170,307,33,0,732,7,11,2
40,36,65,95,515,18,0,0,69,9,3
19,9,3,29,44,3,0,0,5,1,3
29,15,12,51,58,12,0,0,5,24,3
14707,14724,15412,223,1650,22,0,49,92,15,3
29,15,14,57,82,12,0,0,5,24,3
42,30,20,102,111,5,0,13,7,18,3
53,42,491,128,121,10,0,772,8,16,3
42,30,20,99,107,5,0,15,7,18,3
102,93,526,245,86,7,0,822,12,49,3
101,91,542,249,90,7,0,827,12,49,3
108,93,569,200,134,5,0,795,11,15,3
107,92,547,197,135,5,0,795,11,15,3
29,15,12,54,70,12,0,0,5,24,3
36,25,18,66,133,12,0,1,6,26,3
29,15,12,48,82,8,0,0,5,24,3
36,25,18,69,141,12,0,1,6,20,3
36,25,17,71,109,12,0,1,6,26,3
34,24,15,73,117,8,0,1,6,20,3
4174,4154,6847,8350,561,28,0,9605,13,43,3
43,31,21,101,115,5,0,13,7,37,3
262,254,860,213,449,10,0,775,32,31,3
29,15,12,48,76,12,0,0,5,24,3
107,92,550,199,131,5,0,795,11,15,3
98,97,611,225,734,20,0,784,74,30,3
42,30,20,101,105,5,0,13,7,18,3
43,31,431,96,42,5,0,732,8,14,3
43,31,21,100,179,5,0,15,7,37,3
94,84,507,235,82,7,0,803,12,49,3
29,15,13,52,81,12,0,0,5,24,3
40,36,66,88,462,18,0,0,69,9,3
73,55,466,175,135,7,0,788,8,17,3
15760,15770,19965,835,4933,22,0,1139,87,19,3
29,15,12,49,82,8,0,0,5,24,3
106,91,496,201,129,5,0,795,11,15,3
233,184,240,1638,34,1,0,400,0,44,3
32317,32333,34729,1358,6027,22,0,676,91,29,3
36,25,17,73,112,12,0,1,6,26,3
42,30,463,103,72,5,0,732,8,14,3
40,36,70,84,556,18,0,0,69,9,3
101,100,124,254,476,28,0,43,76,21,3
265,257,853,204,476,10,0,778,32,31,3
34,24,16,68,135,10,0,1,6,30,3
29,15,12,51,78,12,0,0,5,24,3
29,15,12,49,69,12,0,0,5,24,3
654,668,4416,302,3216,46,0,843,213,15,3
101,88,531,193,161,5,0,796,11,16,3
29,15,12,54,89,12,0,0,5,24,3
25,10,3,65,90,6,0,1,6,38,3
42,30,20,104,108,5,0,15,7,18,3
29,15,12,51,91,12,0,0,5,24,3
106,91,545,213,250,5,0,799,23,15,3
18184,18193,22361,872,4865,22,0,1104,95,19,3
62,52,52,169,1682,5,0,66,8,32,3
262,254,889,204,484,10,0,779,32,31,3
38,25,18,80,184,17,0,1,6,26,3
262,254,889,197,499,10,0,763,32,31,3
19024,19035,20356,858,3650,22,0,377,95,19,3
15330,15335,17074,599,1995,27,0,826,107,16,3
40,36,55,80,450,18,0,0,69,9,3
254,245,856,180,431,9,0,766,24,31,3
20634,20643,24686,957,5249,39,0,1142,91,19,3
29,15,12,47,66,8,0,0,5,24,3
57,46,474,149,110,10,0,784,8,16,3
265,257,843,210,504,10,0,779,32,31,3
101,88,554,184,166,5,0,796,11,16,3
37,25,19,78,156,15,0,1,6,28,3
101,88,550,191,173,5,0,796,11,16,3
29,15,12,51,58,8,0,0,5,24,3
106,91,520,200,154,5,0,799,23,15,3
243,194,254,1684,193,1,0,416,0,45,3
43,31,19,104,97,5,0,12,7,18,3
783,798,4499,261,2929,46,0,817,215,15,3
96,86,541,212,82,7,0,807,12,49,3
34,24,13,71,152,8,0,1,6,20,3
29,15,12,46,72,8,0,0,5,24,3
15222,15238,19257,807,5879,22,0,1118,105,19,3
70,52,486,180,159,7,0,776,8,17,3
15275,15286,19438,842,4999,22,0,1146,87,19,3
106,91,539,197,125,5,0,796,11,15,3
113,102,538,276,1563,23,0,775,15,37,3
13876,13887,18081,812,5053,22,0,1130,87,19,3
251,240,869,130,286,7,0,776,8,21,3
40,36,62,77,517,18,0,0,69,9,3
42,30,20,91,105,5,0,15,7,18,3
15802,15813,20111,833,5043,22,0,1146,87,19,3
25,10,3,74,112,6,0,1,6,38,3
29,15,12,58,71,12,0,0,5,24,3
29,15,12,52,80,12,0,0,5,24,3
23,10,4,48,40,3,0,0,5,3,3
29,15,12,52,77,8,0,0,5,24,3
29,15,12,50,78,8,0,0,5,24,3
40,36,57,84,518,18,0,0,69,9,3
107,92,547,197,131,5,0,796,11,15,3
97,87,511,226,81,7,0,811,12,49,3
98,88,538,229,88,7,0,814,12,49,3
140,134,551,343,133,8,0,984,11,18,3
101,88,532,195,156,5,0,796,11,16,3
107,92,522,202,133,5,0,795,11,15,3
106,91,551,200,129,5,0,796,11,15,3
258,249,873,192,410,9,0,770,24,31,3
106,91,536,188,137,5,0,796,11,15,3
42,30,20,92,250,5,0,13,7,18,3
29,15,12,47,81,8,0,0,5,24,3
259,251,848,194,492,10,0,767,32,31,3
106,91,513,196,130,5,0,796,11,15,3
37127,37143,39512,1558,6581,22,0,813,91,29,3
261,253,861,195,448,10,0,771,32,31,3
41,29,437,87,45,5,0,732,8,20,3
29,15,12,46,56,8,0,0,5,24,3
70,55,471,234,346,33,0,730,128,74,3
61,49,56,192,214,15,0,44,7,20,3
115,103,552,282,1605,25,0,776,15,35,3
101,88,543,194,150,5,0,796,11,16,3
106,91,563,194,152,5,0,796,11,15,3
37,25,19,71,119,15,0,1,6,28,3
32,15,12,53,82,10,0,0,5,24,3
36,25,18,69,138,12,0,1,6,26,3
78,68,505,205,218,5,0,810,10,17,3
256,248,851,190,679,10,0,763,32,31,3
4159,4136,7749,3715,554,38,0,9217,36,47,3
29,15,13,53,84,12,0,0,5,24,3
67,49,465,163,184,7,0,764,8,18,3
412,397,708,309,157,254,0,73,988,340,3
57,46,470,139,102,10,0,779,8,16,3
32,15,12,54,63,10,0,0,5,24,3
15324,15342,16641,801,3600,22,0,411,88,19,3
29,15,13,50,69,12,0,0,5,24,3
29,15,13,53,78,12,0,0,5,24,3
81,77,95,173,420,20,0,37,73,21,3
36,25,17,67,129,12,0,1,6,26,3
55,44,465,151,189,10,0,780,8,16,3
29,15,12,52,81,8,0,0,5,24,3
106,91,556,194,133,5,0,796,11,15,3
38,27,22,80,91,12,0,1,6,20,3
106,91,538,196,122,5,0,796,11,15,3
60,48,57,190,242,15,0,44,7,20,3
29,15,12,53,72,12,0,0,5,24,3
116,106,527,280,1555,25,0,784,15,44,3
37,26,20,87,82,12,0,1,6,19,3
38,27,21,77,131,12,0,1,6,26,3
350,340,995,926,464,16,0,1407,12,33,3
107,92,555,196,154,5,0,795,11,15,3
37,25,19,74,125,15,0,1,6,28,3
29,15,13,51,85,12,0,0,5,24,3
29,15,12,51,82,12,0,0,5,24,3
2985,2991,6479,509,2707,38,0,900,94,16,3
106,91,558,208,142,5,0,796,11,15,3
55,44,466,141,280,7,0,780,8,15,3
40,36,64,85,479,18,0,0,69,9,3
102,89,527,189,155,5,0,795,11,16,3
40,36,78,88,582,18,0,0,69,9,3
29,15,12,48,88,8,0,0,5,24,3
18348,18358,22496,945,5623,22,0,1149,95,19,3
53,42,490,140,113,10,0,772,8,16,3
29,15,12,57,75,8,0,0,5,24,3
2941,2946,6468,507,2732,39,0,859,94,25,3
29,15,12,49,82,12,0,0,5,24,3
37,25,17,75,137,15,0,1,6,28,3
19827,19834,24055,921,5104,22,0,1134,98,19,3
262,254,867,195,470,10,0,775,32,31,3
2033,2057,6121,3787,3320,44,0,4272,215,66,3
107,92,522,191,139,5,0,796,11,15,3
262,254,864,197,497,10,0,779,32,31,3
42,30,458,92,36,5,0,731,8,13,3
262,254,882,199,475,10,0,775,32,31,3
658,672,4123,273,2615,46,0,821,213,15,3
1871,1881,6292,944,5409,22,0,1136,98,19,3
20248,20257,24042,367,3563,39,0,790,91,17,3
107,92,541,186,135,5,0,795,11,15,3
1486,1469,2497,2351,143,16,0,3300,9,51,3
95,92,105,211,555,28,0,39,73,21,3
40,36,69,87,496,18,0,0,69,9,3
29,15,12,48,63,8,0,0,5,24,3
18602,18612,22586,390,3374,39,0,804,91,17,3
29,15,12,48,63,8,0,0,5,24,3
694,708,4388,289,2911,46,0,840,213,15,3
671,685,4113,306,2799,46,0,844,213,15,3
34,17,16,71,89,10,0,0,5,24,3
38,25,17,77,167,17,0,1,6,26,3
18707,18717,22585,373,3529,39,0,788,92,17,3
53,42,464,143,105,10,0,772,8,16,3
29,15,12,55,80,12,0,0,5,24,3
99,89,525,247,71,7,0,819,12,49,3
99,89,556,229,85,7,0,819,12,49,3
107,92,519,203,125,5,0,796,11,15,3
29,15,12,52,99,12,0,0,5,24,3
54,43,476,132,113,10,0,776,8,16,3
40,36,63,84,528,18,0,0,69,9,3
29,15,12,53,76,12,0,0,5,24,3
29,15,12,50,75,8,0,0,5,24,3
532,546,1271,239,1151,46,0,101,213,15,3
29,15,12,53,85,12,0,0,5,24,3
346,336,954,871,438,16,0,1387,12,33,3
14961,14972,19166,840,4967,22,0,1143,87,19,3
13735,13759,17442,906,3199,23,0,1835,95,36,3
15098,15114,19414,844,5559,22,0,1141,103,19,3
16817,16827,20875,817,5079,22,0,1127,87,19,3
882,840,1387,2613,923,5,0,2087,12,22,3
101,88,532,190,220,5,0,796,11,16,3
15495,15506,19710,850,5226,22,0,1149,87,19,3
100,98,111,245,447,28,0,43,76,21,3
36,25,17,71,125,12,0,1,6,20,3
19510,19530,26988,15404,53374,45,0,10540,203,121,3
42,30,20,99,96,5,0,13,7,18,3
42,30,441,88,75,5,0,732,8,12,3
46,34,447,101,74,6,0,732,8,29,3
42,30,20,97,105,5,0,13,7,18,3
101,88,529,204,137,5,0,796,11,16,3
54,43,465,147,109,10,0,776,8,16,3
29,15,12,50,77,12,0,0,5,24,3
106,91,517,189,139,5,0,796,11,15,3
29,15,12,55,79,12,0,0,5,24,3
29,15,12,46,72,8,0,0,5,24,3
95,93,625,211,447,20,0,772,74,30,3
106,91,572,196,123,5,0,796,11,15,3
59,49,59,172,525,10,0,48,7,20,3
34,24,16,62,124,10,0,1,6,30,3
29,15,12,50,64,8,0,0,5,24,3
43,31,20,106,280,5,0,13,7,18,3
0,0,0,731,0,0,0,0,0,0,3
37,25,18,70,120,15,0,1,6,28,3
29,15,12,51,86,12,0,0,5,24,3
18415,18425,22327,360,3672,39,0,777,91,17,3
20372,20381,24732,932,5425,22,0,1145,98,19,3
29,15,12,47,56,8,0,0,5,24,3
636,649,4258,279,2776,46,0,832,213,15,3
37,25,18,73,120,15,0,1,6,28,3
22,9,3,38,35,3,0,0,5,27,3
108,93,533,197,184,5,0,795,11,17,3
106,91,552,217,137,5,0,799,23,15,3
29,15,12,48,81,8,0,0,5,24,3
622,640,4284,202,2752,44,0,775,196,9,3
106,91,557,189,128,5,0,796,11,15,3
58,48,57,181,183,10,0,44,7,20,3
106,91,532,195,151,5,0,796,11,15,3
86,87,639,166,628,28,0,733,85,16,3
32,15,14,57,97,10,0,0,5,24,3
20975,20985,21984,321,1744,22,0,55,98,17,3
106,91,518,201,137,5,0,796,11,15,3
42,30,20,101,106,5,0,13,7,18,3
52,41,467,141,65,5,0,768,8,16,3
42,30,20,105,106,5,0,13,7,18,3
57,46,488,145,55,5,0,783,8,16,3
107,92,532,192,141,5,0,796,11,15,3
29,15,12,53,73,12,0,0,5,24,3
37,25,18,73,132,15,0,1,6,28,3
42,30,20,98,103,5,0,13,7,18,3
34,24,16,64,133,10,0,1,6,36,3
22,10,3,40,70,3,0,0,5,5,3
29,15,12,53,90,8,0,0,5,24,3
19979,19994,24122,872,5312,22,0,1146,88,19,3
18726,18736,22792,421,3779,39,0,831,92,17,3
76,68,104,241,753,78,3,1,227,39,3
33,17,16,67,86,8,0,0,5,19,3
94,92,614,201,892,20,0,772,74,30,3
99,90,526,236,70,7,0,823,12,49,3
102,82,84,224,97,16,0,77,11,34,3
40,27,21,85,149,17,0,1,6,26,3
29,15,12,54,70,12,0,0,5,24,3
40,36,60,78,507,18,0,0,69,9,3
107,92,537,201,117,5,0,796,11,15,3
37,25,18,72,169,15,0,1,6,22,3
100,90,528,238,95,7,0,823,12,49,3
106,91,542,193,125,5,0,796,11,15,3
42,30,20,95,120,5,0,13,7,18,3
29,15,12,49,81,8,0,0,5,24,3
29,15,12,50,81,12,0,0,5,24,3
19341,19351,23120,375,4199,39,0,792,91,17,3
42,30,20,99,99,5,0,13,7,18,3
44,38,434,100,85,5,0,732,9,12,3
36,25,17,90,33,5,0,8,7,2,3
11323,50,38,16898,3851,20,0,0,7,15,3
102,89,544,196,279,5,0,796,11,16,3
59,49,57,181,649,10,0,44,7,20,3
103,90,534,202,176,5,0,796,11,16,3
20583,20593,24826,932,5478,22,0,1141,98,19,3
101,88,551,187,252,5,0,796,11,16,3
40,36,67,87,570,18,0,0,69,9,3
29,15,14,54,74,12,0,0,5,24,3
38,27,21,84,95,12,0,1,6,26,3
19831,19838,24067,919,5445,22,0,1123,96,19,3
52,40,39,168,180,15,0,60,7,16,3
101,91,513,235,72,7,0,827,12,49,3
29,15,13,49,78,8,0,0,5,24,3
100,85,101,189,129,5,0,75,22,15,3
29,15,12,47,80,8,0,0,5,24,3
19320,19328,23282,921,5587,22,0,1141,95,19,3
31873,31890,33094,519,3801,22,0,242,102,19,3
17860,17870,21728,403,3290,39,0,795,91,17,3
29,15,13,53,93,12,0,0,5,24,3
339,329,972,867,469,16,0,1367,12,33,3
106,91,532,197,134,5,0,796,11,15,3
29,15,12,55,82,12,0,0,5,24,3
71,58,517,113,154,9,0,732,10,8,3
51,40,490,128,55,5,0,764,8,17,3
96,86,554,228,82,7,0,800,12,49,3
57,46,470,144,111,10,0,784,8,16,3
34,24,13,67,118,8,0,1,6,20,3
97,96,100,240,449,28,0,40,73,21,3
29,15,12,56,78,12,0,0,5,24,3
263,255,872,207,462,10,0,779,32,31,3
100,90,524,237,87,7,0,819,12,49,3
32,15,12,54,76,10,0,0,5,24,3
256,241,857,151,331,9,0,768,8,31,3
29,15,12,47,75,8,0,0,5,24,3
56,45,483,133,204,10,0,784,8,16,3
4164,4150,6839,8177,617,30,0,9593,16,44,3
102,93,543,258,104,7,0,827,12,49,3
29,15,12,47,82,8,0,0,5,24,3
417,402,722,320,160,254,0,77,988,340,3
106,91,552,210,227,5,0,796,10,15,3
29,15,13,56,85,12,0,0,5,24,3
50,39,492,133,73,5,0,756,8,17,3
34,17,16,62,82,10,0,0,5,18,3
107,92,562,192,131,5,0,796,11,15,3
38,27,22,79,137,12,0,1,6,26,3
16914,16931,21252,851,6234,22,0,1160,102,19,3
42,30,20,99,121,5,0,15,7,18,3
20081,20103,24649,1758,4055,33,0,3117,95,33,3
29,15,12,56,58,12,0,0,5,24,3
493,482,730,1066,394,18,0,853,13,41,3
9843,9867,13694,793,3358,23,0,1602,95,36,3
19946,19954,24204,945,5151,39,0,1128,95,19,3
18850,18860,23170,924,5194,22,0,1134,98,19,3
43,31,21,105,78,5,0,13,7,37,3
11419,11438,14959,811,2812,32,0,1534,97,33,3
16044,16055,20278,816,5248,22,0,1139,87,19,3
101,88,531,192,166,5,0,796,11,16,3
53,42,456,123,196,5,0,768,8,19,3
40,27,21,82,106,17,0,1,6,20,3
265,254,870,197,433,9,0,770,24,31,3
19728,19740,21096,843,3446,22,0,398,105,19,3
43,31,20,102,111,5,0,15,7,18,3
29,15,12,49,67,12,0,0,5,24,3
37,25,18,78,132,15,0,1,6,28,3
38,27,21,77,100,12,0,1,6,20,3
76,66,495,195,118,7,0,797,10,17,3
97,87,510,229,84,7,0,811,12,49,3
29,15,12,48,76,12,0,0,5,24,3
101,88,533,185,276,5,0,796,11,16,3
29,15,12,47,88,8,0,0,5,24,3
40,36,59,82,493,18,0,0,69,9,3
50,39,433,123,72,5,0,760,8,17,3
709,723,4245,268,2854,46,0,832,213,15,3
29,15,12,50,72,8,0,0,5,24,3
36,25,18,69,106,12,0,1,6,20,3
29,15,12,48,78,12,0,0,5,24,3
99,85,101,194,179,5,0,72,9,16,3
55,44,474,136,114,10,0,780,8,16,3
42,30,20,97,82,5,0,13,7,18,3
44,33,23,112,102,5,0,16,7,37,3
29,15,14,49,83,12,0,0,5,31,3
29,15,12,53,84,8,0,0,5,24,3
156,145,676,150,187,5,0,784,8,21,3
42,30,20,97,108,5,0,13,7,18,3
106,91,566,198,134,5,0,796,11,15,3
707,721,4318,258,2985,46,0,813,213,15,3
10908,10932,14585,819,3641,23,0,1690,95,36,3
29,15,12,48,82,8,0,0,5,24,3
752,740,1386,659,821,37,0,473,163,56,3
37,25,19,72,130,15,0,1,6,22,3
34,24,18,68,137,10,0,1,6,36,3
107,92,525,208,139,5,0,799,23,15,3
31190,31206,33025,343,2763,22,0,82,99,25,3
238,189,260,1671,66,1,0,416,0,45,3
101,88,527,185,224,5,0,796,11,16,3
29,15,13,49,87,12,0,0,5,24,3
37,25,18,74,108,15,0,1,6,28,3
34,24,16,62,127,10,0,1,6,30,3
9954,9978,13726,797,3309,23,0,1638,95,36,3
42,30,20,96,100,5,0,15,7,18,3
29,15,12,52,81,8,0,0,5,24,3
59,45,41,164,108,18,0,0,79,15,3
44,32,465,99,71,7,0,732,8,12,3
29,15,12,51,66,12,0,0,5,24,3
36,25,17,68,174,12,0,1,6,26,3
106,91,549,219,134,5,0,799,23,15,3
40,36,74,83,762,18,0,0,69,9,3
29,15,12,52,85,12,0,0,5,24,3
67,49,472,158,130,7,0,764,8,17,3
29,15,12,49,76,12,0,0,5,24,3
32,15,13,52,65,10,0,0,5,24,3
100,97,117,231,631,28,0,41,76,21,3
26,11,3,72,104,6,0,1,6,38,3
34,17,16,63,85,10,0,0,5,18,3
42,30,20,97,106,5,0,15,7,18,3
107,92,564,189,136,5,0,796,11,15,3
21662,21671,25612,351,3527,22,0,784,95,17,3
38,25,18,76,207,17,0,1,6,26,3
262,254,889,214,429,10,0,779,32,31,3
29,15,12,49,54,8,0,0,5,24,3
37,25,18,76,144,15,0,1,6,28,3
18243,18253,22210,401,3566,39,0,799,91,17,3
100,90,527,238,79,7,0,820,12,49,3
60,48,57,191,219,15,0,44,7,20,3
106,91,562,189,153,5,0,796,11,15,3
53,42,479,137,101,10,0,772,8,16,3
29,15,12,47,87,8,0,0,5,24,3
29,15,12,53,78,12,0,0,5,24,3
42,30,20,105,101,5,0,13,7,18,3
